lead_id,agent_id,product_category,lead_created_date,last_contact_date,lead_stage,estimated_case_size
L0001,A001,Protection,2026-07-03,2026-07-05,Contacted,8000
L0002,A001,Wealth,2026-06-28,2026-07-06,Closing,5000
L0003,A002,Protection,2026-06-29,2026-07-02,New,20000
L0004,A002,Protection,2026-06-22,2026-07-05,Closing,20000
L0005,A003,Retirement,2026-07-04,2026-07-05,Proposal,12000
L0006,A003,Shield,2026-06-25,2026-06-28,New,5000
L0007,A003,Shield,2026-06-10,2026-06-13,Proposal,20000
L0008,A003,Retirement,2026-06-18,2026-06-19,New,15000
L0009,A004,Shield,2026-05-30,2026-06-08,Contacted,30000
L0010,A004,Protection,2026-06-30,2026-06-30,Proposal,5000
L0011,A005,Shield,2026-06-28,2026-07-04,Closing,30000
L0012,A005,Shield,2026-06-11,2026-06-16,Proposal,8000
L0013,A005,Wealth,2026-05-23,2026-05-31,Contacted,20000
L0014,A006,Retirement,2026-06-24,2026-07-01,Proposal,30000
L0015,A006,Shield,2026-05-30,2026-06-06,New,8000
L0016,A006,Retirement,2026-07-02,2026-07-04,Proposal,5000
L0017,A007,Protection,2026-05-29,2026-06-08,Closing,15000
L0018,A007,Protection,2026-05-24,2026-06-07,Proposal,8000
L0019,A007,Shield,2026-06-19,2026-07-06,Closing,20000
L0020,A008,Protection,2026-06-11,2026-06-18,Closing,5000
L0021,A008,Wealth,2026-07-01,2026-07-07,Contacted,30000
L0022,A008,Retirement,2026-06-24,2026-07-06,New,15000
L0023,A008,Retirement,2026-06-10,2026-06-29,Proposal,20000
L0024,A008,Shield,2026-07-04,2026-07-04,Proposal,5000
L0025,A009,Retirement,2026-06-07,2026-06-12,New,30000
L0026,A009,Protection,2026-06-18,2026-07-04,New,30000
L0027,A009,Protection,2026-06-15,2026-07-05,Contacted,12000
L0028,A009,Wealth,2026-06-24,2026-07-02,Proposal,15000
L0029,A010,Shield,2026-06-27,2026-07-02,Contacted,5000
L0030,A010,Wealth,2026-06-19,2026-07-07,New,30000
