agent_id,month,product_category,cases_closed,case_value,vs_target_pct
A001,2026-05,Protection,5,22000,57
A001,2026-06,Shield,4,22000,57
A001,2026-07,Protection,3,14000,52
A001,2026-07,Shield,3,22000,52
A001,2026-07,Retirement,0,9000,52
A002,2026-05,Wealth,4,9000,54
A002,2026-05,Shield,4,9000,54
A002,2026-06,Wealth,5,4000,39
A002,2026-07,Wealth,0,14000,24
A003,2026-05,Shield,5,22000,82
A003,2026-06,Protection,5,22000,67
A003,2026-07,Retirement,3,9000,52
A004,2026-05,Retirement,3,22000,56
A004,2026-05,Protection,5,4000,56
A004,2026-05,Shield,5,4000,56
A004,2026-06,Retirement,5,14000,41
A004,2026-07,Protection,1,9000,26
A005,2026-05,Retirement,1,14000,78
A005,2026-06,Protection,3,4000,90
A005,2026-06,Wealth,0,4000,90
A005,2026-07,Protection,1,22000,102
A006,2026-05,Wealth,3,4000,78
A006,2026-05,Retirement,3,14000,78
A006,2026-06,Retirement,5,22000,82
A006,2026-06,Shield,1,9000,82
A006,2026-07,Wealth,4,4000,79
A007,2026-05,Wealth,4,22000,70
A007,2026-06,Protection,1,4000,82
A007,2026-06,Wealth,4,4000,82
A007,2026-06,Shield,5,9000,82
A007,2026-07,Wealth,1,4000,94
A007,2026-07,Shield,4,4000,94
A008,2026-05,Shield,5,14000,91
A008,2026-05,Protection,1,14000,91
A008,2026-05,Wealth,3,9000,91
A008,2026-06,Shield,0,4000,92
A008,2026-06,Protection,3,4000,92
A008,2026-06,Retirement,0,9000,92
A008,2026-07,Protection,0,9000,90
A008,2026-07,Retirement,2,14000,90
A009,2026-05,Shield,5,14000,78
A009,2026-05,Retirement,5,4000,78
A009,2026-05,Wealth,1,14000,78
A009,2026-06,Wealth,5,9000,63
A009,2026-07,Shield,1,14000,48
A009,2026-07,Retirement,1,14000,48
A010,2026-05,Wealth,5,22000,81
A010,2026-05,Retirement,2,4000,81
A010,2026-06,Shield,1,14000,93
A010,2026-07,Retirement,4,22000,105
